人物,立绘,文本,CG,SE
,,如同幻觉一般，眼前的一切都模糊不清,PedestrainStreet,
,,即便用尽全力保持清醒，也不能理解正在发生的一切,Hospital,
,,记忆变得模糊,Hospital,
,,无论如何也无法回想起来,Hospital,
,,手上不知何时被谁被缠上了绷带,Hospital,
,,记不清，也看不清,Hospital,
,,直到白色，蔓延了整个视野……,Hospital,
护士,,祁何医生，这位患者晕倒在现场，但是并没有受太严重的伤,,
护士,,在车上已经妥善处理了伤口，只是她的意识还不是特别清醒,,
祁何,,知道了，我来负责，你先去忙吧,,
护士,,还有其他患者伤势严重，需要您优先处理,,
祁何,,马上过来,,
,,眼前出现了一个高大的身影,,
,,白色的长袍映衬着的兔子脑袋上，顶着一双毛茸茸的耳朵,,
爱丽,eli_default,兔子……先生？,,
兔子先生,mr_rabbit,总是选择逃避可并不明智,,
兔子先生,mr_rabbit,这终会让你错失最后的机会,,
兔子先生,mr_rabbit,毕竟时间可不等人啊，爱丽,,
爱丽,eli_default,我这是……在哪里,,
兔子先生,mr_rabbit,我倒是想与你玩个游戏,,
兔子先生,mr_rabbit,但也就只能帮你到这里了，毕竟是否接受自己的记忆，终究还是取决于你自己,,
爱丽,eli_default,……什么游戏？,,
兔子先生,mr_rabbit,没关系，你马上就会明白的,,
兔子先生,mr_rabbit,相信最终你会得偿所愿的,,
兔子先生,mr_rabbit,我会很期待你的灵魂,,
,,兔子先生的身影变得愈发模糊，快要消失在无尽的白雾之中,,
爱丽,eli_default,请等一下！,,
,,爱丽追上逐渐消失的身影,,
,,但却突然一脚踩空在唐突的空洞之中,,
爱丽,eli_default,啊啊啊啊啊…………！,,
,,…………,,
