人物,立绘,文本
咖啡机,coffee_machine,啊啊，这位美丽的小姐，请快快入座吧
爱丽,eli_default,咖啡机……说话了……
咖啡机,coffee_machine,当然，对顾客的问候可是最基本的待客之道
咖啡机,coffee_machine,要来点什么吗？像您这样可爱的女孩子或许会需要一杯热摩卡来暖暖身子
爱丽,eli_default,不用不用，我喝不惯咖啡……
咖啡机,coffee_machine,已经准备好了，尝试一下也无妨，呵呵。我对一个人的口味判断可是很少出错的~
爱丽,eli_default,啊，谢谢
,,温暖的咖啡从口中流入，直入心底
,,也不像一般的咖啡那样有着难以接受的苦涩，恰到好处的些许苦味反而更显出其中棉柔的甘甜
爱丽,eli_default,果然好好喝
咖啡机,coffee_machine,谢谢夸奖~
咖啡机,coffee_machine,那……旁边的这位姑娘，你要些什么呢？
黑,black_default,我就要和他一样的吧
咖啡机,coffee_machine,哦噢噢，真是不巧，但就在刚刚那一杯之后，咖啡就已经用完了
爱丽,eli_default,太可惜了……
咖啡机,coffee_machine,不过，如果能找到一些咖啡豆，在后厨榨成咖啡的话，我还能再做一些。
爱丽,eli_default,那我也一起找找吧
咖啡机,coffee_machine,真是感激不尽了~
