人物,立绘,文本,CG,SE
,,…………,Black,
兔子先生,mr_rabbit,那么,Black,
兔子先生,mr_rabbit,祝贺你，爱丽，终于找回了失去的记忆,Black,
兔子先生,mr_rabbit,当然，这一切也还有挽救的余地,Black,
爱丽,eli_default,谁？……兔子先生……,Black,
兔子先生,mr_rabbit,哼，不是什么兔子先生，只不过是个小小的无名神罢了,Black,
兔子先生,mr_rabbit,巧的是，我恰好也接手了你朋友的救治工作,,
爱丽,eli_default,请您一定要救救她……,,
兔子先生,mr_rabbit,我自然会尽全力的，至少履行下所谓……医生的职责,,
兔子先生,mr_rabbit,不过我直说吧，她的情况不容乐观,,
兔子先生,mr_rabbit,但若你能接受交易，我倒是不介意用一些……本不该在这个世界使用的小小手法……,,
兔子先生,mr_rabbit,你还是要想清楚，毕竟这忙，也不是白帮的,,
兔子先生,mr_rabbit,你的命会被换取你朋友的生,,
兔子先生,mr_rabbit,而你的灵魂……反正在这之后也无处可去，不如就成为我的奴隶吧……,,
兔子先生,mr_rabbit,只要你进入这扇门，我便自有办法救她,,
兔子先生,mr_rabbit,当然，我向来不会强迫任何人,,
兔子先生,mr_rabbit,一切，尊重你自己的意愿,,
兔子先生,mr_rabbit,我只是个愿意为你提供这个机会的中间者罢了,,
兔子先生,mr_rabbit,说实话，我还是很欣赏、并期待你的……,,
爱丽,eli_default,……,,
