人物,立绘,文本,CG,SE
爱丽,eli_default,不，不行……,,
爱丽,eli_default,我……不能忘记这份记忆,,silence.wav
爱丽,eli_default,是她带着我离开了过去黑暗的生活，是她让我知道了世上还有这样的希望,,
爱丽,eli_default,我能感觉到，距离找回关于她的所有记忆，只差下最后的一块了,,
爱丽,eli_default,这里一定还有我需要知道的事,,
爱丽,eli_default,我……对不起，我不能答应你……,,
,,爱丽有些无力的手地握住了白的手腕,,
,,白感到些许惊讶,,
,,这是爱丽第一次拒绝了自己,,
,,也许，也会是最后一次吧,,
白,,我知道，不该总是这样欺骗你,WhiteKiss,
白,,我也一直希望着你能够幸福,WhiteKiss,
白,,但现实却总是这般残酷……,WhiteKiss,
白,,自她闯入你的生活以来，到如今能看见你久违的笑颜，我便意识到，这一切，终于迎来了转机,WhiteKiss,
白,,爱丽也长大了，不应该再让我像对待小孩子一样继续哄着了,WhiteKiss,
白,,只是……不要让你唯一的寄托，再一次从面前离去,WhiteKiss,
白,,别让她久等了，她所剩下的时间不多……,WhiteKiss,
爱丽,,白！……你的身体……,WhiteKiss,
,,随着白身上的光散尽，她变成了白色的兔子玩偶，是爱丽再熟悉不过的玩偶,,
,,身上还系着红色丝带，如同被包装好的礼物一般,,
,,而水晶球中，也多出了一个玩偶,,
,,正是爱丽的模样……,,
