人物,立绘,文本,CG,SE
老师,teacher,躺到床上吧，老师给你处理伤口,,
,,爱丽有些笨拙地躺下，曲起膝盖,,
,,老师细致地清理了膝盖上的伤口，并上了药,,
,,随着绷带一圈圈缠住敷药的纱布，老师的动作愈发轻盈，并渐渐慢了下来,,
,,终于缠完了最后一圈，爱丽正要从床上下来,,
老师,teacher,等一下，还有些检查要做,,
爱丽,eli_default,没事的老师，只是膝盖磕伤了而已,,
爱丽,eli_default,已经处理好了……谢谢老师,,
老师,teacher,还需要看一下其他地方受伤了没有,,
老师,teacher,毕竟，学生受伤了，老师可要好好负责,,
老师,teacher,你把裤子先脱下来吧,,
爱丽,eli_default,老师，不……不可以脱衣服……,,
老师,teacher_distort,好孩子应该听老师的话,,
老师,teacher_distort,细致的检查需要这样做,,
老师,teacher_distort,我来帮你脱吧,,
,,不知何时，眼前身影的袖口中便不再是刚刚为爱丽包扎的双手,,
,,不可名状的黑色触手从那里伸出，蠕动着爬向爱丽,,
爱丽,eli_default,白……救救我…………,,
？？？,black_default,…………,,
？？？,black_default,快和我走！,,
,,爱丽被陌生的女孩拉起手，两人撞开了那个怪异的蝴蝶头身型，向门外跑去,SchoolCorridor,
,,身边的光景在奔跑中向后退去，已然看不清自己身处何处,SchoolCorridor,
,,如同没有尽头的路途，两人就这样一直跑着……,SchoolCorridor,
