人物,立绘,文本,CG,SE
,,曾经所遗忘的一切都被回想起来，历历在目,,
,,世界纷繁的景象褪去，只剩下爱丽和伫立面前的黑,,
黑,black_default,其实你早就知道，只是一直都不愿面对,,
黑,black_default,有时候我也会想着，要是这件事从没发生过，哪怕是我们从来都不曾相识过，或是你以后也不再想起这些记忆，大概都不会让你这样悲伤吧,,
黑,black_default,但你还是选择了记忆的真相……,,
爱丽,eli_default,我才不要失去和你的记忆！这些……没有这些你带给我的一切，我从来也只是一具空壳而已啊！,,
爱丽,eli_default,是我害了你变成这样……,,
爱丽,eli_default,哪怕死去，我也宁愿和你一起啊！,,
黑,black_default,别傻了，小家伙……,,
黑,black_default,我从来都没有责怪过你，这样的意外面前，我所能做的，也就只有救下你了……,,
黑,black_default,不用为我担心，这只是我应该做的，并不是你的过错,,
黑,black_default,我们可是最好的朋友不是吗？,,
爱丽,eli_default,不，不是朋友……,,
爱丽,eli_default,我爱你……,,
爱丽,,不要就这样离开我……,BlackKiss,
爱丽,,别留下我一个人……,BlackKiss,
黑,,要照顾好自己,BlackKiss,
