人物,立绘,文本,CG,SE
,,圣诞的步行街人来人往，临街的商店播放着节日的贺曲,,
,,正是八音盒中的曲调,,
,,声音的来源，是一家有些冷清但洋溢着温暖气息的礼品店,,
？？？,chesh,当初送给你的礼物，就是在这里买的哦~,,
？？？,chesh,虽然并不是很贵就是啦，但是我觉得，会很适合做我第一次送给你的礼物,,
爱丽,eli_default,这绝对……是我曾收到过的最珍贵的礼物,,
？？？,chesh,你能喜欢就好~,,
爱丽,eli_default,其实……我也有礼物要给你,,
,,背过身去的爱丽在包中找着她的礼物,,
,,她的兔子玩偶，她那曾经还爱她的父母留给爱丽唯一的念想，陪伴爱丽度过了从幸福或孤单的无数日夜,,
,,如今正戴着爱丽亲手系上的丝带，将被递到了她最挚爱的人手中,,
,,人群传来了一阵嘈杂，并不属于这片祥和的不安感快速地逼近,,
,,失控的泥头车带着毁灭一切的气势撞入了步行街，打破了这片和睦的景象,,
？？？,chesh,快闪开！,,
,,————,PutEliAway,
,,槲寄生的果实殷红，但叶片上的斑驳血迹却更加刺眼,BloodstrainedDoll,
,,慌乱过后的人群很快熙熙攘攘聚在了周围,BloodstrainedDoll,
,,拿出礼物的女孩并没能看到眼前的人收下她的最真挚的心意,BloodstrainedDoll,
,,也没能说出藏在心中许久的话语,BloodstrainedDoll,
,,躺在地上的，是女孩柔软的身体,BloodstrainedDoll,
