人物,立绘,文本
,,黑的目光似乎被什么所吸引
黑,black_default,你就在这里等我一下，我马上就回来
爱丽,eli_default,嗯……
黑,black_default,别担心，马上回来~
,,爱丽有些不舍地松开握着黑的手，看着她消失在来往的人群中
,,即使身处来来往往的行人中，热闹的气氛却无法掩盖爱丽身边的冷清
,,尽管有些不安，但还是愿意耐心等待
,,然而停在眼前的却是两个怪异的身影
？？？,stranger_a,可爱的小姑娘，在等谁呀？
爱丽,eli_default,我在等我的朋友……
？？？,stranger_b,等这么久了，恐怕你的朋友是等不到了
爱丽,eli_default,不会的……她一定会来的
爱丽,eli_default,你们走开啦……
？？？,stranger_a,要不我们来做你的朋友吧？
？？？,stranger_a,我们会送你回去
爱丽,eli_default,不要……
,,爱丽往后退了半步，准备离开
,,然而身后却撞上了另一个身影
？？？,stranger_c,……
？？？,stranger_a,你还想离开？
？？？,stranger_a,逃不掉的
？？？,stranger_a,走吧，我们可得好好照顾这位新朋友
