人物,立绘,文本,CG,SE
,,……,,
,,…………,,
,,难得的假期，所有人都早早回家，今日我甚至不需要打工，一切都很好?,,
,,放学后的校园没了往日的喧嚣?,,
,,停下忙碌的我却有些无所适从，大概一直以来，便从没有被需要过吧,,
,,无论有没有我，或许并无所谓……,,
,,爬上天台，看着夕阳的余晖，想要在人生最后时刻与这残阳叙话。?,,
,,眼泪还未落尽，天台门被人推开。?,,
,,我就是这样狼狈不堪，第一次遇见了她?,,
？？？,chesh,同学，你怎么还不回家？?,,
爱丽,eli_default,...给你添麻烦了，我马上就离开?,,
,,眼前的女孩有着明媚的笑容，与我此刻的颓丧模样截然不同。?,,
,,想要守住自己最后一丝的尊严，我手忙脚乱的收拾着一切。?,,
,,至少，我这样的人，不应该再给身边的人添麻烦了。?,,
？？？,chesh,唔...需要我帮忙吗？?,,
爱丽,eli_default,...不用……，谢谢。?,,
,,少女的食指不由分说的抚上我的脸颊，替我拭去未干的泪珠。?,,
,,我抬头望去，却看见她眼中的自己?,,
,,——肿着眼睛，像一只没人要的兔子?,,
,,即将孤独的面对自己的命运。?,,
,,喏，不要哭了，不管遇到再困难的事，都会过去的。?,,
,,手帕纸带着百合的香气，温柔却又存在感十足的萦绕在我鼻尖。?,,
,,我想开口拒绝，却又怕一开口的哭腔让对方心生厌烦。?,,
,,然而我却不曾想过，就是这样的一面，改变了我的命运。?,,
