人物,立绘,文本,CG,SE
爱丽,,噫啊啊啊啊啊啊啊啊！！！！,Black,
,,少女的话让爱丽慌乱的思绪在有那么一刻回到了某个似曾相识的记忆,Black,
,,从心底闪现的决心虽仅有一瞬但也促使她用尽全身的意志紧握、挥动了身后的铁管,Black,
,,伴随着近乎疯狂的冲击，碎裂的手感沿着铁管传来,Black,
？？？,stranger_a_headless,呜啊！我的头……,,
？？？,stranger_c,快……快跑啊，这是两个怪物！,,
？？？,stranger_c,放过我吧，我什么都没做啊,,
？？？,stranger_b,我认错！别再打了！！！,,
？？？,stranger_a_headless,等一下……,,
？？？,stranger_b,呃……啊，这都是什么事啊……,,
黑,black_default,还不快滚！,,
,,摸不着头的黑影倒在地上痛苦地挣扎，被同伙拖着匆忙逃开,,
,,铁管从爱丽手中滑落，颤抖的双腿终于支撑不住，让她坐到了地上,,
,,爱丽的脸上浮现出久违的笑容,,
,,已经太久绷紧而麻木着的心终于找回了遥远的记忆中尚存的些许轻松,,
,,爱丽的生活，曾随着她的闯入与自己挥动的双手，在此迎来转折,,
黑,black_default,真是一帮麻烦的家伙,,
黑,black_default,不过好了，总算都收拾完了,,
黑,black_default,爱丽……？,,
黑,,果然吓到了吧,EliGetKnown,
黑,,爱丽还是很勇敢的呢,EliGetKnown,
